id,post_id,title,contt,excerpt,date,slug
1,81,Announcemt," Test Announcemtrn,enchancemt of Food Allowance for Jail warders and Chief Warders of Odisha, enchancemt of Food Allowance for Jail warders and Chief Warders of Odisha                    ","hancemt of Food Allowance for Jail warders & Chief Warders of Odisha,orannounce-text",18-03-2025,announcemt
2,81,Notice,"1.Cancellation of walk-in interview for gagemt of mtal health professionals,2.gaging Mtal Health Professionals,3.Providing of vehicle on monthly hired basis.","1.Cancellation of walk-in interview for gagemt of mtal health professionals.rn2.gaging Mtal Health Professionals.rn3.Providing of vehicle on monthly hired basis.,orWhat's New",18-03-2025,notice
3,81,Tder,"Enchancemt of Food Allowance for Jail warders and Chief Warders of Odisha, Enchancemt of Food Allowance for Jail warders and Chief Warders of Odisha Enchancemt of Food Allowance for Jail warders and Chief Warders of Odisha","hancemt of Food Allowance for Jail warders & Chief Warders of Odisha,ortder-text",18-03-2025,tder
