,title,content,excerpt,date,slug
2, Appreciation to this DLSA by Hon'ble High Court of Odisha Appreciation to this DLSA by Hon'ble High Court of Odisha  ,"    Appreciation to this DLSA by Hon'ble High Court of Odisha, Appreciation to this DLSA by Hon'ble High Court of Odisha", 2023-03-15 2023-03-15  ,05-08-2025,appreciation-to-this-dlsa-by-honble-high-court-of-odisha
3,Issuance of Aadhar cards to children with disabilitiesIssuance of Aadhar cards to children with disabilities,"    Issuance of Aadhar cards to children with disabilities,Issuance of Aadhar cards to children with disabilities", 2023-05-26 2023-05-26  ,06-08-2025,issuance-of-aadhar-cards-to-children-with-disabilities
4, Skill developement training programme for jail inamates Skill developement training programme for jail inamates  ,"    Skill developement training programme for jail inamates,Skill developement training programme for jail inamates",-,06-08-2025,skill-developement-training-programme-for-jail-inamates
