,title,content,slug
1, Tender   Tender ,  Enhancement of Food Allowance for Jail warders &amp; Chief Warders of Odisha.,tender
2, Announcement   Announcement ,  Enhancement of Food Allowance for Jail warders &amp; Chief Warders of Odisha. ,announcement
3, Latest News   Latest News ,  Cancellation of walk-in interview for engagement of mental health&nbsp;professionals. ,latest-news
4, Tender   Tender , Change of hierarchy in respect of Group Group officers working in Jails (Prisons organisation).Change of hierarchy in respect of Group- Groupfficers working in Jails (Prisons organisation).,tender-1
