id,name,circles,range,jail_type,jail_address,prisoner_capacity,visitor_capacity,jail_superitendent_name,jail_superitendent_name,sup_contact_num,jailer_name,jailer_num,
44,"Circle Jail, Phulbani",5,berhampur,circlejail,Phulbani,377,30,LALATENDU BHUSAN DAS,LALATENDU BHUSAN DAS,6842253614, ,, 
45,"District Jail, Boudh",5,berhampur,districtjail,Boudh,300,30,ALOK PRIYADARSHI KAR,ALOK PRIYADARSHI KAR,6841222058, ,, 
46,"District Jail, Nayagarh",5,cuttack,districtjail,Nayagarh,360,30,PRAFULLA KUMAR KAB,PRAFULLA KUMAR KAB,6753252213, ,, 
47,"District Jail, Bhawanipatna",5,berhampur,districtjail,Bhawanipatna,410,30,Sri Saraj Kumar Biswal,Sri Saraj Kumar Biswal,6671230414, ,, 
48,"Sub Jail, Baliguda",5,berhampur,subjail,Baliguda,98,30,Alok Priyadarshi Kar,Alok Priyadarshi Kar,6846243214, ,, 
49,"Sub Jail, G.Udayagiri",5,berhampur,subjail,G.Udayagiri,79,30,KUNWAR EKKA,KUNWAR EKKA,6847260102, ,, 
50,"Sub Jail, Daspalla",5,cuttack,subjail,Daspalla,37,15,JAGAT BIHARI ROUTRAY,JAGAT BIHARI ROUTRAY,6757220043, ,, 
51,"Sub Jail, Khandapada",5,cuttack,subjail,Khandapada,51,20,PRIYAMBADA PANDA,PRIYAMBADA PANDA,6757230034, ,, 
52,"Sub Jail, Ranpur",5,cuttack,subjail,Ranpur,30,10,BABULI BARIK,BABULI BARIK,6755236897, ,, 
53,"Sub Jail, Dharamgarh",5,berhampur,subjail,Dharamgarh,88,30,SALMAN KUJUR,SALMAN KUJUR,6672242651, ,, 
54,"Sub Jail, M.Rampur",5,berhampur,subjail,M.Rampur,206,30,RAGHURAJ MAJHI,RAGHURAJ MAJHI,0, ,, 
55,"Circle Jail, Cuttack at Choudwar",6,cuttack,circlejail,"Cuttack, Choudwar",1166,50,SUJIT KUMAR RAULA,SUJIT KUMAR RAULA,6712494209,Santoshini Dash,, 
56,"District Jail, Puri",6,cuttack,districtjail,Puri,640,50,BALARAM BISHIMAJHI,BALARAM BISHIMAJHI,6671212001, ,, 
57,"District Jail, Khordha",6,cuttack,districtjail,Khordha,258,30,KRUSHNA CHANDRA ROUT,KRUSHNA CHANDRA ROUT,6755220589, ,, 
58,"District Jail, Jagatsingpur",6,cuttack,districtjail,Jagatsingpur,176,30,RATI KANTA SUKLA,RATI KANTA SUKLA,6724220351, ,, 
59,"District Jail, Kendrapara",6,cuttack,districtjail,Kendrapara,192,30,Babuli Barik,Babuli Barik,6727211567, ,, 
60,"Special Jail, Bhubaneswar",6,cuttack,specialjail,Bhubaneswar,891,90,MANORANJAN PRATIHARI,MANORANJAN PRATIHARI,6742578077,Abhinash Behera,, 
61,BPOAA Jamujhari,6,cuttack,specialjail,Jamujhari,125,3,SAMIR RANJAN SAHOO,SAMIR RANJAN SAHOO,6742467840, ,, 
62,"Sub Jail, Salipur",6,cuttack,subjail,Salipur,206,30,MANAS RANJAN SAMANT,MANAS RANJAN SAMANT,6712351555, ,, 
64,"Sub Jail, Baramba",6,cuttack,subjail,Baramba,29,10,MURALIDHAR DEHURY,MURALIDHAR DEHURY,6721273233, ,, 
65,"Sub Jail, Narasinghpur",6,cuttack,subjail,Narasinghpur,206,30,MURALIDHAR DEHURY,MURALIDHAR DEHURY,0, ,, 
66,"Sub Jail, Banki",6,cuttack,subjail,Banki,22,10,ASHOK KUMAR BEHERA,ASHOK KUMAR BEHERA,6723240239, ,, 
67,"Sub Jail, Kujanga",6,cuttack,subjail,Kujanga,122,30,HEMANTA KUMAR SETHI,HEMANTA KUMAR SETHI,6722236460, ,, 
68,"Sub Jail, Nimapara",6,cuttack,subjail,Nimapara,206,30,MISS SMITA MOHANTY,MISS SMITA MOHANTY,6758250833, ,, 
69,"Model Convict Prison, Athagarh",6,cuttack,model,Athagarh,500,50,SHOUBHAGYA KUMAR BAL,SHOUBHAGYA KUMAR BAL,0, ,, 
70,"Special Jail, Bhanjanagar",7,berhampur,specialjail,Bhanjanagar,300,40,Sri Manas Ranjan Samanta,Sri Manas Ranjan Samanta,0, ,, 
71,"Sub Jail, Chatrapur",7,berhampur,subjail,Chatrapur,164,40,ABANTI SINGH,ABANTI SINGH,6811263874, ,, 
72,"Sub Jail, Aska",7,berhampur,subjail,Aska,146,30,DILLIP KUMAR JENA,DILLIP KUMAR JENA,6822273632, ,, 
73,"Sub Jail, Suruda",7,berhampur,subjail,Suruda,45,20,RADHESHYAM BEHERA,RADHESHYAM BEHERA,6819270073, ,, 
74,"Sub Jail, Kodala",7,berhampur,subjail,Kodala,205,100,TARANISEN DEHURY,TARANISEN DEHURY,6810268263, ,, 
75,"Sub Jail, Digapahandi",7,berhampur,subjail,Digapahandi,206,50,BIKASH KUMAR SAHU,BIKASH KUMAR SAHU,6814253550, ,, 
77,"Sub Jail, Paralakhemundi",7,berhampur,subjail,Paralakhemundi,272,30,Sri Kamakhi Prasad Pati,Sri Kamakhi Prasad Pati,6815222239, ,, 
78,"Sub Jail, R.Udayagiri",7,berhampur,subjail,R.Udayagiri,78,30,DOLAGOBINDA BEHERA,DOLAGOBINDA BEHERA,6817240242, ,, 
79,"Sub Jail, Banpur",7,cuttack,subjail,Banpur,231,30,KOSHALA PADMINI DALBEHERA,KOSHALA PADMINI DALBEHERA,6756211009, ,, 
80,"Circle Jail, Berhampur",7,berhampur,circlejail,Berhampur,914,150,DHIRENDRANATH BARIK,DHIRENDRANATH BARIK,6802402151, ,, 
81,"Circle Jail, Koraput",8,berhampur,circlejail,Koraput,739,100,MANORANJAN PRATIHARI,MANORANJAN PRATIHARI,6852251264, ,, 
82,"District Jail, Malkanagiri",8,berhampur,districtjail,Malkanagiri,314,50,SANJAY VARMA,SANJAY VARMA,6861230236, ,, 
83,"Special Jail, Jeypore",8,berhampur,specialjail,Jeypore,382,40,UMA SHANKAR MAJHI,UMA SHANKAR MAJHI,6854232238, ,, 
85,"Sub Jail, Kotpad",8,berhampur,subjail,Kotpad,206,30,KRUSHNA CHANDRA ROU,KRUSHNA CHANDRA ROU,6860283225, ,, 
87,"Sub Jail, Nawarangpur",8,berhampur,subjail,Nawarangpur,145,40,DEBENDRA KUMAR THATY,DEBENDRA KUMAR THATY,6858222028, ,, 
88,"Sub Jail, Umerkote",8,berhampur,subjail,Umerkote,124,40,GAGAN BIHARI SAHOO,GAGAN BIHARI SAHOO,6866270124, ,, 
89,"Sub Jail, Rayagada",8,berhampur,subjail,Rayagada,101,30,LAXMIDHAR MURMU,LAXMIDHAR MURMU,6856235178, ,, 
90,"Sub Jail, Bissam Cuttack",8,berhampur,subjail,Bissam Cuttack,271,30,KISHORE KUMAR SINGH,KISHORE KUMAR SINGH,6863247400, ,, 
91,"Sub Jail, Gunupur",8,berhampur,subjail,Gunupur,110,20,HANU SETHI,HANU SETHI,6857250057, ,, 
93,"Sub Jail, Nuapada",8,berhampur,subjail,Nuapada,48,20,DURBADAL MEHER,DURBADAL MEHER,6678223435, ,, 
94,"Sub Jail, Khariar",8,berhampur,subjail,Khariar,271,30,BALARAM BISHIMAJHI,BALARAM BISHIMAJHI,6671212001, ,, 
